DATE,USA_GDP_QUR_CHANGE,E_OIL_PRICE
Jul-87,6.7,19.86
Oct-87,10.5,18.76
Jan-88,5.3,16.75
Apr-88,9.5,16.6
Jul-88,7.3,14.91
Oct-88,9.1,12.41
Jan-89,8.5,17.17
Apr-89,7.6,20.32
Jul-89,6,17.62
Oct-89,3.7,18.91
Jan-90,9,21.25
Apr-90,6.1,16.61
Jul-90,3.7,17.17
Oct-90,-0.7,36.02
Jan-91,2,23.57
Apr-91,6.2,19.18
Jul-91,5.3,19.4
Oct-91,3.8,22.21
Jan-92,6.4,18.16
Apr-92,6.9,18.92
Jul-92,6.1,20.24
Oct-92,7.1,20.26
Jan-93,2.9,17.39
Apr-93,4.8,18.67
Jul-93,4.4,16.78
Oct-93,7.9,16.61
Jan-94,5.9,14.29
Apr-94,7.6,15.23
Jul-94,4.7,17.6
Oct-94,7,16.49
Jan-95,3.6,16.55
Apr-95,3.2,18.65
Jul-95,5.5,15.85
Oct-95,4.7,16.11
Jan-96,5,17.85
Apr-96,8.6,20.9
Jul-96,5,19.57
Oct-96,6.5,24.16
Jan-97,5.1,23.54
Apr-97,7.7,17.56
Jul-97,6.9,18.46
Oct-97,4.8,19.87
Jan-98,4.7,15.19
Apr-98,4.7,13.53
Jul-98,6.9,12.08
Oct-98,7.8,12.7
Jan-99,5.2,11.11
Apr-99,5,15.29
Jul-99,6.9,19.08
Oct-99,9.1,22
Jan-00,4.2,25.51
Apr-00,10.2,22.76
Jul-00,2.8,28.68
Oct-00,4.6,30.96
Jan-01,1.3,25.62
Apr-01,5,25.66
Jul-01,0,24.61
Oct-01,2.4,20.54
Jan-02,4.7,19.42
Apr-02,3.9,25.73
Jul-02,3.6,25.74
Oct-02,2.8,27.54
Jan-03,4.1,31.18
Apr-03,5.1,25
Jul-03,9.3,28.35
Oct-03,7.3,29.61
Jan-04,5.2,31.28
Apr-04,6.5,33.59
Jul-04,6.5,38.22
Oct-04,7.4,49.78
Jan-05,7.9,44.51
Apr-05,5,51.88
Jul-05,7,57.52
Oct-05,5.6,58.54
Jan-06,8.5,62.99
Apr-06,4.6,70.26
Jul-06,3.4,73.67
Oct-06,5,57.81
Jan-07,5.1,53.68
Apr-07,5.3,67.49
Jul-07,4.6,76.93
Oct-07,4.2,82.34
Jan-08,-0.2,92.18
Apr-08,4.4,109.07
Jul-08,0.9,132.72
Oct-08,-7.6,71.58
Jan-09,-4.8,43.44
Apr-09,-1.4,50.18
Jul-09,1.9,64.44
Oct-09,5.7,72.77
Jan-10,3.1,76.17
Apr-10,6,84.82
Jul-10,4.4,75.58
Oct-10,4.5,82.67
Jan-11,1.1,96.52
Apr-11,5.5,123.26
Jul-11,2.3,116.97
Oct-11,5.1,109.55
Jan-12,5.8,110.69
Apr-12,3.5,119.75
Jul-12,2.8,102.62
Oct-12,2.5,111.71
Jan-13,5.2,112.96
Apr-13,1.7,102.25
Jul-13,5.2,107.93
Oct-13,5.4,109.08
Jan-14,0.3,108.12
Apr-14,7.6,107.76
Jul-14,6.6,106.77
Oct-14,2.5,87.43
Jan-15,3.1,47.76
Apr-15,4.6,59.52
Jul-15,2.5,56.56
Oct-15,0.5,48.43
Jan-16,2,30.7
Apr-16,4.1,41.58
Jul-16,3.6,44.95
Oct-16,4.2,49.52
Jan-17,4,54.58
Apr-17,3.6,52.31
Jul-17,5,48.48
Oct-17,6.8,57.51
Jan-18,5.3,69.08
Apr-18,7.1,72.11
Jul-18,3.3,74.25
Oct-18,3,81.03
Jan-19,3.7,59.41
Apr-19,5.6,71.23
Jul-19,4.1,63.92
Oct-19,3.6,59.71
Jan-20,-3.9,63.65
Apr-20,-32.4,18.38
Jul-20,38.7,43.24
Oct-20,6.6,40.19
Jan-21,10.9,54.77
Apr-21,13.4,64.81
Jul-21,8.4,75.17
Oct-21,14.5,83.54
Jan-22,6.6,86.51
Apr-22,8.4,104.58
